"transaction_id","vendor","amount","date","purchase_order","contract_number","department"
"0181558201","XEROX CORPORATION","255.86","2021-09-23","000053928101","","HSA Human Services Agency"
"0204253201","FILIPINO-AMERICAN DEVELOPMENT FOUNDATION","2774.34","2022-03-31","000053928401","1000022264","MYR Mayor"
"0174202101","POWERSPORTS OF VALLEJO INC","149.27","2021-07-21","000053929101","","PUC Public Utilities Commsn"
"0180396201","INTERNATIONAL FIRE INC","1133.85","2021-09-14","000053929701","1000001575","PUC Public Utilities Commsn"
"0186364201","INTERNATIONAL FIRE INC","593.31","2021-11-04","000053930101","1000001575","PUC Public Utilities Commsn"
"0182463301","GILTON SOLID WASTE","7525.8","2021-09-29","000053930401","","PUC Public Utilities Commsn"
"0185790701","KONICA MINOLTA BUSINESS SOLUTNS USA INC","46.65","2021-10-29","000053931001","1000017646","DPH Public Health"
"0175834201","Angela Han","18000","2021-08-03","000053931201","1000021571","ART Arts Commission"
"0208051301","KONICA MINOLTA BUSINESS SOLUTNS USA INC","519.84","2022-05-02","000053931301","1000017630","DPH Public Health"
"0173569201","MEDLINE INDUSTRIES INC","412.19","2021-07-15","000053932001","","DPH Public Health"
"0173579501","MEDLINE INDUSTRIES INC","345.92","2021-07-15","000053932701","","DPH Public Health"
"0204289501","SWCA ENVIRONMENTAL CONSULTANTS","127.5","2022-04-01","000053933201","1000009044","MTA Municipal Transprtn Agncy"
"0185473101","STAPLES BUSINESS ADVANTAGE","53.6","2021-11-08","000053933301","1000018782","MTA Municipal Transprtn Agncy"
"0194312001","STAPLES BUSINESS ADVANTAGE","48.44","2022-01-21","000053933301","1000018782","MTA Municipal Transprtn Agncy"
"0173576201","MEDLINE INDUSTRIES INC","2.17","2021-07-15","000053933601","","DPH Public Health"
"0173576501","MEDLINE INDUSTRIES INC","469.23","2021-07-15","000053934301","","DPH Public Health"
"0182662101","GRAINGER","269.05","2021-10-01","000053934601","1000002899","DPH Public Health"
"0184321201","GRAINGER","420.43","2021-10-18","000053934601","1000002899","DPH Public Health"
"0195223401","GRAINGER","179.3","2022-01-24","000053934601","1000002899","DPH Public Health"
"0210848701","GRAINGER","533.68","2022-05-24","000053934601","1000002899","DPH Public Health"
"0173558201","MEDLINE INDUSTRIES INC","1669.94","2021-07-15","000053935301","","DPH Public Health"
"0173808901","MEDLINE INDUSTRIES INC","19.99","2021-07-17","000053935901","","DPH Public Health"
"0173572901","MEDLINE INDUSTRIES INC","32.85","2021-07-15","000053936601","","DPH Public Health"
"0212956201","BUCKLES-SMITH ELECTRIC CO","1173.15","2022-06-10","000053937201","","PRT Port"
"0185778401","BlueTriton Brands Inc","4.33","2021-10-29","000053937601","1000013890","DPH Public Health"
"0212100301","BlueTriton Brands Inc","48.37","2022-06-06","000053937601","1000013890","DPH Public Health"
"0175716401","TERUMO MEDICAL CORP","2281.13","2021-08-02","000053938201","","DPH Public Health"
"0175559401","MEDLINE INDUSTRIES INC","1611.67","2021-09-15","000053938801","","DPH Public Health"
"0174876101","MEDLINE INDUSTRIES INC","320.97","2021-07-26","000053939301","","DPH Public Health"
"0173919201","BOUND TREE MEDICAL LLC","2907.66","2021-07-19","000053939401","1000017791","FIR Fire Department"
"0174790001","BOUND TREE MEDICAL LLC","398.39","2021-07-26","000053939401","1000017791","FIR Fire Department"
"0174874901","BOUND TREE MEDICAL LLC","5518.28","2021-07-26","000053939401","1000017791","FIR Fire Department"
"0175718801","BOUND TREE MEDICAL LLC","1665.98","2021-08-02","000053939401","1000017791","FIR Fire Department"
"0177021101","BOUND TREE MEDICAL LLC","956.48","2021-08-12","000053939401","1000017791","FIR Fire Department"
"0178247601","BOUND TREE MEDICAL LLC","32204.14","2021-08-23","000053939401","1000017791","FIR Fire Department"
"0178409101","BOUND TREE MEDICAL LLC","798.38","2021-08-24","000053939401","1000017791","FIR Fire Department"
